,Movie,Year,Rating
0,Rocketry: The Nambi Effect,2022,8.5
1,Anbe Sivam,2003,8.4
2,Golmaal,1979,8.4
3,Jai Bhim,2021,8.4
4,Nayakan,1987,8.4
5,Pariyerum Perumal,2018,8.4
6,3 Idiots,2009,8.4
7,Apur Sansar,1959,8.3
8,Manichitrathazhu,1993,8.3
9,Kumbalangi Nights,2019,8.3
10,Black Friday,2004,8.3
11,Taare Zameen Par,2007,8.3
12,C/o Kancharapalem,2018,8.3
13,#Home,2021,8.3
14,Soorarai Pottru,2020,8.3
15,Dangal,2016,8.3
16,Kireedam,1989,8.3
17,Kaithi,2019,8.3
18,Jersey,2019,8.3
19,Asuran,2019,8.2
20,96,2018,8.2
21,Thevar Magan,1992,8.2
22,Visaaranai,2015,8.2
23,Pather Panchali,1955,8.2
24,Thalapathi,1991,8.2
25,Sarpatta Parambarai,2021,8.2
26,Natsamrat,2016,8.2
27,Drishyam 2,2021,8.2
28,777 Charlie,2022,8.2
29,Sardar Udham,2021,8.2
30,Thani Oruvan,2015,8.2
31,Aparajito,1956,8.2
32,Vada Chennai,2018,8.2
33,Jaane Bhi Do Yaaro,1983,8.2
34,Khosla Ka Ghosla!,2006,8.2
35,Vikram,2022,8.1
36,Drishyam,2013,8.1
37,Chupke Chupke,1975,8.1
38,Peranbu,2018,8.1
39,Agent Sai Srinivasa Athreya,2019,8.1
40,Anniyan,2005,8.1
41,Mahanati,2018,8.1
42,Bangalore Days,2014,8.1
43,Satya,1998,8.1
44,Super Deluxe,2019,8.1
45,Premam,2015,8.1
46,Ratsasan,2018,8.1
47,Gangs of Wasseypur,2012,8.1
48,Devasuram,1993,8.1
49,Bhaag Milkha Bhaag,2013,8.1
50,Andhadhun,2018,8.1
51,Aruvi,2016,8.1
52,Drishyam,2015,8.1
53,Kannathil Muthamittal,2002,8.1
54,Guide,1965,8.1
55,Chithram,1988,8.1
56,Shahid,2012,8.1
57,Vikram Vedha,2017,8.1
58,Iruvar,1997,8.1
59,Sairat,2016,8.1
60,Zindagi Na Milegi Dobara,2011,8.1
61,Paan Singh Tomar,2012,8.1
62,Tumbbad,2018,8.1
63,Mudhalvan,1999,8.1
64,Chhichhore,2019,8.1
65,Dhuruvangal Pathinaaru,2016,8.1
66,Spadikam,1995,8.1
67,"Swades: We, the People",2004,8.1
68,Black,2005,8.1
69,Chak De! India,2007,8.1
70,Jo Jeeta Wohi Sikandar,1992,8.1
71,Papanasam,2015,8.1
72,Pudhu Pettai,2006,8.1
73,Pyaasa,1957,8.1
74,Mandela,2021,8.1
75,Munna Bhai M.B.B.S.,2003,8.1
76,PK,2014,8.1
77,Article 15,2019,8.0
78,Soodhu Kavvum,2013,8.0
79,Uri: The Surgical Strike,2019,8.0
80,Queen,2013,8.0
81,Kaakkaa Muttai,2014,8.0
82,Talvar,2015,8.0
83,Lagaan: Once Upon a Time in India,2001,8.0
84,OMG: Oh My God!,2012,8.0
85,Jigarthanda,2014,8.0
86,Sarfarosh,1999,8.0
87,Udaan,2010,8.0
88,Barfi!,2012,8.0
89,Theeran Adhigaaram Ondru,2017,8.0
90,Hera Pheri,2000,8.0
91,Sholay,1975,8.0
92,Ustad Hotel,2012,8.0
93,The Legend of Bhagat Singh,2002,8.0
94,Rang De Basanti,2006,8.0
95,Angoor,1982,8.0
96,Baasha,1995,8.0
97,Baahubali 2: The Conclusion,2017,8.0
98,Masaan,2015,8.0
99,Kahaani,2012,8.0
