,Movie,Year,Rating
0,The Shawshank Redemption,1994,9.2
1,The Godfather,1972,9.2
2,The Dark Knight,2008,9.0
3,The Godfather Part II,1974,9.0
4,12 Angry Men,1957,8.9
5,Schindler's List,1993,8.9
6,The Lord of the Rings: The Return of the King,2003,8.9
7,Pulp Fiction,1994,8.9
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
9,"Il buono, il brutto, il cattivo",1966,8.8
10,Forrest Gump,1994,8.8
11,Fight Club,1999,8.7
12,Inception,2010,8.7
13,The Lord of the Rings: The Two Towers,2002,8.7
14,The Empire Strikes Back,1980,8.7
15,The Matrix,1999,8.7
16,Goodfellas,1990,8.7
17,One Flew Over the Cuckoo's Nest,1975,8.6
18,Se7en,1995,8.6
19,Shichinin no samurai,1954,8.6
20,It's a Wonderful Life,1946,8.6
21,The Silence of the Lambs,1991,8.6
22,Cidade de Deus,2002,8.6
23,Saving Private Ryan,1998,8.6
24,La vita è bella,1997,8.6
25,The Green Mile,1999,8.6
26,Interstellar,2014,8.6
27,Star Wars,1977,8.6
28,Terminator 2: Judgment Day,1991,8.5
29,Back to the Future,1985,8.5
30,Sen to Chihiro no kamikakushi,2001,8.5
31,Psycho,1960,8.5
32,The Pianist,2002,8.5
33,Léon,1994,8.5
34,Gisaengchung,2019,8.5
35,The Lion King,1994,8.5
36,Gladiator,2000,8.5
37,American History X,1998,8.5
38,The Departed,2006,8.5
39,The Usual Suspects,1995,8.5
40,The Prestige,2006,8.5
41,Casablanca,1942,8.5
42,Whiplash,2014,8.5
43,The Intouchables,2011,8.5
44,Seppuku,1962,8.5
45,Modern Times,1936,8.4
46,Hotaru no haka,1988,8.4
47,Once Upon a Time in the West,1968,8.4
48,Top Gun: Maverick,2022,8.4
49,Rear Window,1954,8.4
50,Alien,1979,8.4
51,City Lights,1931,8.4
52,Nuovo Cinema Paradiso,1988,8.4
53,Memento,2000,8.4
54,Apocalypse Now,1979,8.4
55,Raiders of the Lost Ark,1981,8.4
56,Django Unchained,2012,8.4
57,WALL·E,2008,8.4
58,The Lives of Others,2006,8.4
59,Sunset Blvd.,1950,8.4
60,Paths of Glory,1957,8.4
61,The Shining,1980,8.4
62,The Great Dictator,1940,8.4
63,Witness for the Prosecution,1957,8.4
64,Avengers: Infinity War,2018,8.4
65,Aliens,1986,8.3
66,American Beauty,1999,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
68,Spider-Man: Into the Spider-Verse,2018,8.3
69,The Dark Knight Rises,2012,8.3
70,Oldeuboi,2003,8.3
71,Joker,2019,8.3
72,Amadeus,1984,8.3
73,Braveheart,1995,8.3
74,Toy Story,1995,8.3
75,Coco,2017,8.3
76,Das Boot,1981,8.3
77,Inglourious Basterds,2009,8.3
78,Mononoke-hime,1997,8.3
79,Avengers: Endgame,2019,8.3
80,Once Upon a Time in America,1984,8.3
81,Good Will Hunting,1997,8.3
82,Kimi no na wa.,2016,8.3
83,Requiem for a Dream,2000,8.3
84,Toy Story 3,2010,8.3
85,Singin' in the Rain,1952,8.3
86,3 Idiots,2009,8.3
87,Star Wars: Episode VI - Return of the Jedi,1983,8.3
88,Tengoku to jigoku,1963,8.3
89,2001: A Space Odyssey,1968,8.3
90,Eternal Sunshine of the Spotless Mind,2004,8.3
91,Reservoir Dogs,1992,8.3
92,Capharnaüm,2018,8.3
93,Citizen Kane,1941,8.3
94,Lawrence of Arabia,1962,8.3
95,Jagten,2012,8.3
96,M - Eine Stadt sucht einen Mörder,1931,8.3
97,North by Northwest,1959,8.3
98,Vertigo,1958,8.2
99,Idi i smotri,1985,8.2
